UserID, TextID, ReadingTime, AnswerTime, TrueOrFalse_1, TrueOrFalse_2, TrueOrFalse_3, TrueOrFalse_4, TrueOrFalse_5, NumberOfTouch, NumberOfRecall, NumberOfRecord, TextViewHeight, FontSize
35, 2, 160, 15, 1, 1, 1, 1, 1, 55, 1, 55, 4513.000000, 26.000000
36, 10, 133, 33, 1, 1, 0, 1, 1, 22, 4, 22, 961.500000, 11.000000
36, 9, 168, 38, 1, 1, 1, 1, 1, 58, 4, 53, 3065.000000, 21.000000
36, 6, 156, 20, 0, 1, 1, 1, 1, 29, 2, 29, 1384.000000, 14.000000
36, 7, 129, 17, 1, 0, 1, 1, 1, 62, 11, 59, 4848.000000, 26.000000
36, 8, 227, 21, 0, 1, 0, 1, 1, 27, 0, 27, 1976.500000, 17.000000
37, 2, 111, 25, 0, 1, 1, 0, 1, 122, 11, 122, 4513.000000, 26.000000
37, 3, 133, 17, 1, 1, 0, 0, 0, 48, 8, 47, 901.000000, 11.000000
37, 5, 151, 29, 1, 0, 1, 0, 1, 83, 7, 83, 1991.500000, 17.000000
37, 4, 118, 25, 0, 0, 0, 1, 1, 63, 8, 63, 1246.000000, 14.000000
37, 1, 143, 16, 1, 1, 0, 0, 1, 128, 10, 128, 3002.000000, 21.000000
38, 9, 72, 16, 1, 1, 0, 1, 1, 6, 0, 6, 1400.500000, 14.000000
38, 7, 69, 15, 0, 1, 1, 1, 1, 17, 0, 17, 4848.000000, 26.000000
38, 10, 76, 18, 0, 0, 1, 1, 1, 11, 1, 11, 1931.000000, 17.000000
38, 6, 59, 10, 0, 0, 1, 1, 1, 6, 1, 6, 978.500000, 11.000000
38, 8, 95, 11, 1, 1, 1, 0, 0, 18, 0, 18, 3002.500000, 21.000000
39, 2, 282, 22, 1, 1, 1, 1, 0, 49, 0, 49, 4513.000000, 26.000000
39, 3, 281, 28, 0, 0, 1, 0, 0, 12, 0, 12, 901.000000, 11.000000
39, 5, 264, 18, 1, 1, 1, 1, 1, 30, 0, 30, 3021.000000, 21.000000
39, 4, 237, 27, 1, 1, 0, 1, 1, 15, 0, 15, 1246.000000, 14.000000
39, 1, 252, 21, 1, 1, 1, 1, 1, 23, 0, 23, 2027.000000, 17.000000
40, 6, 94, 14, 1, 0, 1, 1, 1, 20, 0, 20, 3040.000000, 21.000000
40, 10, 103, 29, 1, 1, 0, 1, 0, 6, 0, 6, 1405.000000, 14.000000
40, 8, 121, 20, 0, 1, 0, 1, 0, 22, 0, 22, 4412.000000, 26.000000
40, 9, 117, 19, 0, 0, 1, 1, 1, 4, 0, 4, 993.000000, 11.000000
40, 7, 140, 22, 1, 0, 1, 1, 1, 16, 1, 16, 2287.000000, 17.000000
41, 4, 179, 12, 0, 1, 0, 1, 1, 37, 1, 37, 2832.500000, 21.000000
41, 2, 169, 20, 1, 1, 1, 1, 0, 18, 0, 18, 969.500000, 11.000000
41, 3, 204, 16, 1, 1, 1, 0, 1, 42, 2, 42, 1839.000000, 17.000000
41, 5, 203, 18, 1, 1, 1, 1, 1, 48, 0, 48, 4396.500000, 26.000000
41, 1, 188, 11, 1, 1, 1, 1, 1, 31, 1, 31, 1358.500000, 14.000000
42, 10, 65, 17, 1, 1, 1, 1, 1, 17, 0, 16, 1405.000000, 14.000000
42, 6, 59, 19, 0, 0, 1, 1, 1, 39, 0, 39, 4303.500000, 26.000000
42, 7, 86, 21, 1, 0, 1, 1, 1, 37, 0, 37, 3385.500000, 21.000000
42, 9, 67, 27, 0, 1, 1, 1, 1, 17, 0, 17, 993.000000, 11.000000
42, 8, 73, 24, 1, 1, 0, 1, 1, 26, 0, 26, 1976.500000, 17.000000
43, 5, 158, 35, 1, 0, 1, 1, 0, 36, 1, 36, 3021.000000, 21.000000
43, 1, 136, 15, 1, 1, 1, 1, 1, 17, 1, 17, 2027.000000, 17.000000
43, 3, 121, 26, 1, 1, 0, 0, 1, 11, 0, 11, 901.000000, 11.000000
43, 2, 123, 21, 1, 1, 0, 0, 1, 16, 0, 16, 1392.000000, 14.000000
43, 4, 122, 18, 1, 1, 1, 1, 1, 36, 3, 36, 4163.500000, 26.000000
44, 10, 99, 65, 0, 0, 1, 0, 1, 5, 0, 5, 1405.000000, 14.000000
44, 7, 117, 38, 0, 1, 1, 1, 1, 13, 1, 12, 3385.500000, 21.000000
44, 9, 107, 25, 1, 1, 1, 1, 1, 7, 0, 6, 1976.500000, 17.000000
44, 6, 120, 27, 1, 0, 1, 0, 0, 35, 0, 35, 4303.500000, 26.000000
44, 8, 137, 23, 1, 1, 1, 1, 1, 6, 4, 4, 957.500000, 11.000000
45, 3, 268, 22, 0, 1, 1, 0, 1, 51, 15, 48, 1839.000000, 17.000000
45, 1, 216, 14, 1, 1, 1, 1, 1, 69, 15, 67, 4412.000000, 26.000000
45, 5, 233, 25, 1, 1, 1, 0, 1, 69, 34, 68, 3021.000000, 21.000000
45, 2, 257, 27, 1, 1, 1, 0, 0, 18, 8, 18, 969.500000, 11.000000
45, 4, 220, 20, 0, 1, 1, 1, 1, 20, 2, 20, 1246.000000, 14.000000
46, 6, 116, 17, 1, 1, 1, 1, 0, 6, 0, 5, 1384.000000, 14.000000
46, 7, 100, 21, 1, 1, 1, 1, 1, 5, 0, 5, 1180.500000, 11.000000
46, 8, 135, 26, 1, 1, 1, 1, 0, 9, 0, 9, 1976.500000, 17.000000
46, 10, 123, 10, 1, 1, 1, 1, 1, 12, 0, 12, 3102.500000, 21.000000
